地区,一般工业固体废物产生量,一般工业固体废物综合利用量,一般工业固体废物处置量,一般工业固体废物贮存量,一般工业固体废物倾倒丢弃量,危险废物产生量,危险废物利用处置量,危险废物本年末贮存量
全国,397006万吨,226659万吨,88876万吨,89412万吨,26万吨,8654万吨,8461万吨,11949万吨
北京,194万吨,114万吨,80万吨,0万吨,,26万吨,26万吨,0万吨
天津,1927万吨,1921万吨,5万吨,2万吨,0万吨,72万吨,72万吨,1万吨
河北,40899万吨,22320万吨,6365万吨,12886万吨,,481万吨,480万吨,16万吨
山西,45901万吨,18585万吨,21664万吨,5980万吨,18万吨,378万吨,376万吨,7万吨
内蒙古,41211万吨,13814万吨,16118万吨,12085万吨,,609万吨,608万吨,28万吨
辽宁,24610万吨,13139万吨,7539万吨,4273万吨,5万吨,213万吨,203万吨,26万吨
吉林,5022万吨,2639万吨,1540万吨,927万吨,0万吨,245万吨,245万吨,834万吨
黑龙江,8316万吨,3609万吨,1388万吨,3946万吨,,118万吨,115万吨,20万吨
上海,2073万吨,1947万吨,126万吨,2万吨,,140万吨,140万吨,1万吨
江苏,13051万吨,12350万吨,699万吨,105万吨,0万吨,573万吨,575万吨,9万吨
浙江,5315万吨,5336万吨,22万吨,14万吨,,505万吨,507万吨,8万吨
安徽,14508万吨,13594万吨,813万吨,729万吨,0万吨,237万吨,234万吨,15万吨
福建,6665万吨,5588万吨,784万吨,401万吨,0万吨,173万吨,172万吨,3万吨
江西,11533万吨,5586万吨,657万吨,5445万吨,0万吨,187万吨,185万吨,30万吨
山东,25233万吨,20027万吨,1625万吨,3994万吨,,967万吨,1008万吨,108万吨
河南,16647万吨,13061万吨,1376万吨,2435万吨,0万吨,272万吨,283万吨,38万吨
湖北,10217万吨,6843万吨,2013万吨,2127万吨,0万吨,145万吨,142万吨,10万吨
湖南,4846万吨,3748万吨,526万吨,649万吨,0万吨,208万吨,212万吨,23万吨
广东,7905万吨,6652万吨,938万吨,382万吨,0万吨,504万吨,505万吨,25万吨
广西,9386万吨,4296万吨,1367万吨,3922万吨,0万吨,378万吨,407万吨,38万吨
海南,658万吨,441万吨,217万吨,2万吨,0万吨,19万吨,19万吨,0万吨
重庆,2267万吨,1884万吨,271万吨,147万吨,0万吨,97万吨,98万吨,10万吨
四川,14435万吨,6151万吨,2351万吨,6178万吨,0万吨,483万吨,498万吨,44万吨
贵州,10911万吨,7828万吨,1624万吨,1774万吨,0万吨,74万吨,74万吨,1万吨
云南,17845万吨,9196万吨,4861万吨,4133万吨,,304万吨,302万吨,27万吨
西藏,1930万吨,172万吨,15万吨,1753万吨,0万吨,0万吨,0万吨,0万吨
陕西,13050万吨,6463万吨,5010万吨,1766万吨,0万吨,214万吨,226万吨,107万吨
甘肃,6262万吨,2990万吨,1986万吨,1787万吨,0万吨,197万吨,178万吨,221万吨
青海,15753万吨,8379万吨,173万吨,7265万吨,,344万吨,120万吨,7840万吨
宁夏,7857万吨,3555万吨,4243万吨,362万吨,,112万吨,115万吨,13万吨
新疆,10581万吨,4430万吨,2481万吨,3940万吨,2万吨,376万吨,335万吨,2445万吨
