地区,林业有害生物发生面积,林业有害生物防治面积,林业有害生物防治率,森林病害发生面积,森林病害防治面积,森林虫害发生面积,森林虫害防治面积,森林鼠害发生面积,森林鼠害防治面积,有害植物发生面积,有害植物防治面积
北京,3.06万公顷,3.06万公顷,100.00万公顷,0.11万公顷,0.11万公顷,2.96万公顷,2.96万公顷,,,,
天津,5.52万公顷,4.52万公顷,81.88万公顷,0.49万公顷,0.49万公顷,5.03万公顷,4.03万公顷,,,,
河北,47.24万公顷,44.55万公顷,94.31万公顷,1.45万公顷,1.34万公顷,43.04万公顷,41.02万公顷,2.74万公顷,2.19万公顷,,
山西,23.60万公顷,21.03万公顷,89.10万公顷,1.47万公顷,1.27万公顷,15.82万公顷,14.27万公顷,6.19万公顷,5.37万公顷,0.12万公顷,0.12万公顷
内蒙古,96.84万公顷,59.48万公顷,61.42万公顷,17.50万公顷,8.52万公顷,59.61万公顷,39.13万公顷,19.74万公顷,11.83万公顷,,
辽宁,50.64万公顷,46.04万公顷,90.92万公顷,3.61万公顷,3.07万公顷,46.44万公顷,42.43万公顷,0.59万公顷,0.54万公顷,,
吉林,30.99万公顷,30.43万公顷,98.19万公顷,1.62万公顷,1.61万公顷,25.52万公顷,24.97万公顷,3.85万公顷,3.85万公顷,,
黑龙江,49.74万公顷,42.79万公顷,86.01万公顷,3.21万公顷,2.07万公顷,29.84万公顷,26.47万公顷,16.69万公顷,14.25万公顷,,
上海,1.34万公顷,1.34万公顷,99.95万公顷,0.12万公顷,0.12万公顷,1.22万公顷,1.22万公顷,,,,
江苏,11.13万公顷,10.83万公顷,97.25万公顷,1.29万公顷,1.29万公顷,9.71万公顷,9.40万公顷,,,0.13万公顷,0.13万公顷
浙江,51.62万公顷,48.99万公顷,94.91万公顷,46.90万公顷,44.45万公顷,4.72万公顷,4.54万公顷,,,,
安徽,41.80万公顷,35.06万公顷,83.87万公顷,12.72万公顷,9.19万公顷,29.08万公顷,25.87万公顷,,,,
福建,26.51万公顷,25.73万公顷,97.05万公顷,8.09万公顷,8.08万公顷,18.42万公顷,17.65万公顷,,,,
江西,59.35万公顷,49.99万公顷,84.24万公顷,31.05万公顷,27.22万公顷,28.30万公顷,22.78万公顷,,,0.00万公顷,
山东,50.50万公顷,44.28万公顷,87.68万公顷,12.22万公顷,8.25万公顷,38.28万公顷,36.03万公顷,,,,
河南,48.18万公顷,42.73万公顷,88.70万公顷,9.76万公顷,8.54万公顷,38.42万公顷,34.19万公顷,,,,
湖北,45.74万公顷,40.08万公顷,87.62万公顷,11.71万公顷,10.70万公顷,26.58万公顷,23.28万公顷,0.46万公顷,0.43万公顷,6.99万公顷,5.67万公顷
湖南,36.17万公顷,19.69万公顷,54.43万公顷,9.33万公顷,1.99万公顷,26.84万公顷,17.70万公顷,,,,
广东,51.96万公顷,35.20万公顷,67.75万公顷,29.87万公顷,21.13万公顷,16.70万公顷,9.98万公顷,,,5.39万公顷,4.09万公顷
广西,35.21万公顷,11.05万公顷,31.38万公顷,7.66万公顷,4.56万公顷,26.00万公顷,5.48万公顷,0.02万公顷,0.02万公顷,1.53万公顷,0.99万公顷
海南,2.70万公顷,0.75万公顷,27.74万公顷,0.01万公顷,0.00万公顷,0.84万公顷,0.48万公顷,,,1.85万公顷,0.26万公顷
重庆,36.09万公顷,36.09万公顷,100.00万公顷,12.56万公顷,12.56万公顷,22.39万公顷,22.39万公顷,1.01万公顷,1.01万公顷,0.13万公顷,0.13万公顷
四川,62.48万公顷,45.41万公顷,72.69万公顷,13.14万公顷,10.01万公顷,46.41万公顷,33.36万公顷,2.91万公顷,2.02万公顷,0.02万公顷,0.02万公顷
贵州,18.01万公顷,16.74万公顷,92.94万公顷,2.30万公顷,1.86万公顷,15.10万公顷,14.28万公顷,0.32万公顷,0.32万公顷,0.29万公顷,0.29万公顷
云南,37.25万公顷,36.74万公顷,98.64万公顷,6.70万公顷,6.63万公顷,27.60万公顷,27.18万公顷,1.12万公顷,1.11万公顷,1.83万公顷,1.82万公顷
西藏,25.33万公顷,10.49万公顷,41.43万公顷,6.03万公顷,2.47万公顷,13.81万公顷,5.66万公顷,5.04万公顷,2.13万公顷,0.45万公顷,0.23万公顷
陕西,37.74万公顷,31.16万公顷,82.55万公顷,7.87万公顷,6.12万公顷,21.54万公顷,18.18万公顷,8.32万公顷,6.86万公顷,0.00万公顷,0.00万公顷
甘肃,39.15万公顷,29.33万公顷,74.92万公顷,7.48万公顷,5.91万公顷,18.54万公顷,12.98万公顷,13.13万公顷,10.43万公顷,,
青海,25.89万公顷,19.20万公顷,74.14万公顷,2.93万公顷,2.36万公顷,11.65万公顷,9.48万公顷,10.72万公顷,7.11万公顷,0.58万公顷,0.24万公顷
宁夏,27.41万公顷,11.80万公顷,43.05万公顷,0.11万公顷,0.09万公顷,10.50万公顷,5.07万公顷,16.79万公顷,6.65万公顷,,
新疆,161.17万公顷,151.96万公顷,94.29万公顷,13.28万公顷,12.92万公顷,92.62万公顷,86.19万公顷,55.26万公顷,52.86万公顷,,
大兴安岭,15.02万公顷,2.29万公顷,15.23万公顷,2.14万公顷,0.11万公顷,3.10万公顷,0.78万公顷,9.77万公顷,1.40万公顷,,
