年份,水资源总量,地表水资源量,地下水资源量,地表水与地下水资源重复量,人均水资源量
2000,27700.8亿立方米,26561.9亿立方米,8501.9亿立方米,7363.0亿立方米,2193.9立方米/人
2005,28053.1亿立方米,26982.4亿立方米,8091.1亿立方米,7020.4亿立方米,2151.8立方米/人
2006,25330.1亿立方米,24358.1亿立方米,7642.9亿立方米,6670.8亿立方米,1932.1立方米/人
2007,25255.2亿立方米,24242.5亿立方米,7617.2亿立方米,6604.5亿立方米,1916.3立方米/人
2008,27434.3亿立方米,26377.0亿立方米,8122.0亿立方米,7064.7亿立方米,2071.1立方米/人
2009,24180.2亿立方米,23125.2亿立方米,7267.0亿立方米,6212.1亿立方米,1816.3立方米/人
2010,30906.4亿立方米,29797.6亿立方米,8417.0亿立方米,7308.2亿立方米,2310.4立方米/人
2011,23256.7亿立方米,22213.6亿立方米,7214.5亿立方米,6171.4亿立方米,1729.1立方米/人
2012,29528.8亿立方米,28373.3亿立方米,8296.4亿立方米,7140.9亿立方米,2180.5立方米/人
2013,27957.9亿立方米,26839.5亿立方米,8081.1亿立方米,6962.7亿立方米,2050.8立方米/人
2014,27266.9亿立方米,26263.9亿立方米,7745.0亿立方米,6742.0亿立方米,1987.6立方米/人
2015,27962.6亿立方米,26900.8亿立方米,7797.0亿立方米,6735.2亿立方米,2026.5立方米/人
2016,32466.4亿立方米,31273.9亿立方米,8854.8亿立方米,7662.3亿立方米,2339.4立方米/人
2017,28761.2亿立方米,27746.3亿立方米,8309.6亿立方米,7294.7亿立方米,2059.9立方米/人
2018,27462.5亿立方米,26323.2亿立方米,8246.5亿立方米,7107.2亿立方米,1957.7立方米/人
2019,29041.0亿立方米,27993.3亿立方米,8191.5亿立方米,7143.8亿立方米,2062.9立方米/人
2020,31605.2亿立方米,30407.0亿立方米,8553.5亿立方米,7355.3亿立方米,2239.8立方米/人
2021,29638.2亿立方米,28310.5亿立方米,8195.7亿立方米,6868.0亿立方米,2098.5立方米/人
