年份,居民消费支出,城镇居民支出,农村居民支出,政府消费支出
1978,1759.10亿元,666.70亿元,1092.40亿元,474.52亿元
1979,2013.96亿元,759.33亿元,1254.63亿元,565.02亿元
1980,2336.88亿元,922.01亿元,1414.87亿元,630.79亿元
1981,2627.53亿元,1017.15亿元,1610.38亿元,650.67亿元
1982,2867.12亿元,1049.74亿元,1817.38亿元,709.72亿元
1983,3220.94亿元,1196.54亿元,2024.39亿元,840.26亿元
1984,3689.55亿元,1438.36亿元,2251.18亿元,1097.10亿元
1985,4627.44亿元,1840.70亿元,2786.74亿元,1293.32亿元
1986,5293.52亿元,2180.50亿元,3113.02亿元,1437.30亿元
1987,6047.60亿元,2576.10亿元,3471.50亿元,1595.92亿元
1988,7532.14亿元,3380.51亿元,4151.64亿元,1897.23亿元
1989,8777.97亿元,3913.08亿元,4864.89亿元,2265.71亿元
1990,9435.04亿元,4194.16亿元,5240.88亿元,2577.38亿元
1991,10544.47亿元,4970.97亿元,5573.50亿元,3081.15亿元
1992,12312.22亿元,6365.57亿元,5946.65亿元,3927.07亿元
1993,15694.85亿元,8694.15亿元,7000.70亿元,5120.09亿元
1994,21443.19亿元,12270.86亿元,9172.33亿元,6853.62亿元
1995,28065.56亿元,16527.89亿元,11537.67亿元,8163.18亿元
1996,33644.14亿元,19489.12亿元,14155.02亿元,9478.13亿元
1997,36585.82亿元,21624.85亿元,14960.97亿元,10962.92亿元
1998,38768.49亿元,23893.71亿元,14874.78亿元,12733.33亿元
1999,41845.83亿元,27035.26亿元,14810.57亿元,14821.49亿元
2000,46863.27亿元,31251.44亿元,15611.84亿元,16885.60亿元
2001,50464.68亿元,34167.22亿元,16297.47亿元,18196.45亿元
2002,54666.97亿元,37650.30亿元,17016.67亿元,19560.51亿元
2003,58689.91亿元,40914.95亿元,17774.96亿元,21045.10亿元
2004,65724.75亿元,46492.18亿元,19232.57亿元,23669.68亿元
2005,74153.71亿元,53241.75亿元,20911.96亿元,27718.82亿元
2006,82842.37亿元,60202.81亿元,22639.56亿元,32521.91亿元
2007,98231.30亿元,72642.78亿元,25588.52亿元,39505.76亿元
2008,112654.66亿元,84413.91亿元,28240.75亿元,46244.54亿元
2009,123121.89亿元,93197.73亿元,29924.16亿元,51416.74亿元
2010,141465.46亿元,108938.39亿元,32527.07亿元,60115.92亿元
2011,170390.80亿元,131555.19亿元,38835.62亿元,74356.55亿元
2012,190584.78亿元,148273.21亿元,42311.58亿元,84859.08亿元
2013,212477.29亿元,165889.53亿元,46587.76亿元,94186.37亿元
2014,236238.49亿元,184738.80亿元,51499.70亿元,101792.66亿元
2015,260202.44亿元,203779.56亿元,56422.88亿元,111718.25亿元
2016,288668.15亿元,226960.18亿元,61707.97亿元,122138.26亿元
2017,320689.50亿元,252083.34亿元,68606.16亿元,135828.72亿元
2018,354124.38亿元,277365.30亿元,76759.08亿元,152010.57亿元
2019,387188.10亿元,305130.75亿元,82057.35亿元,165443.64亿元
2020,387185.76亿元,304086.28亿元,83099.48亿元,173625.38亿元
2021,438849.41亿元,345073.42亿元,93776.00亿元,182071.59亿元
