行业,能源消费总量,煤炭,焦炭,原油,汽油,煤油,柴油,燃料油,天然气,电力
消费总量,498314.10万吨标准煤,404860.00万吨,48310.00万吨,69477.14万吨,12767.16万吨,3352.10万吨,14282.70万吨,5364.60万吨,3339.89亿立方米,77620.17亿千瓦时
农林牧渔业,9263.00万吨标准煤,2254.00万吨,23.00万吨,0.00万吨,257.35万吨,11.00万吨,1497.15万吨,1.13万吨,1.28亿立方米,1422.11亿千瓦时
工业,332625.00万吨标准煤,390891.00万吨,48272.00万吨,69476.54万吨,183.97万吨,9.39万吨,1026.12万吨,3262.33万吨,2304.02亿立方米,52353.44亿千瓦时
采矿业,17451.00万吨标准煤,17859.00万吨,199.00万吨,610.12万吨,13.89万吨,1.04万吨,377.30万吨,1.24万吨,184.50亿立方米,2565.98亿千瓦时
煤炭开采和洗选业,8953.00万吨标准煤,16886.00万吨,11.00万吨,0.08万吨,3.22万吨,0.61万吨,147.53万吨,0.22万吨,19.41亿立方米,908.81亿千瓦时
石油和天然气开采业,3743.00万吨标准煤,72.00万吨,,609.94万吨,5.65万吨,0.00万吨,25.03万吨,0.39万吨,156.70亿立方米,463.32亿千瓦时
黑色金属矿采选业,1728.00万吨标准煤,205.00万吨,170.00万吨,0.00万吨,0.60万吨,0.01万吨,34.91万吨,0.01万吨,0.06亿立方米,447.44亿千瓦时
有色金属矿采选业,1090.00万吨标准煤,85.00万吨,4.00万吨,0.00万吨,1.07万吨,0.40万吨,16.57万吨,0.52万吨,0.83亿立方米,329.47亿千瓦时
非金属矿采选业,1126.00万吨标准煤,540.00万吨,15.00万吨,0.00万吨,0.77万吨,0.01万吨,47.86万吨,0.04万吨,3.24亿立方米,225.70亿千瓦时
开采专业及辅助性活动,322.00万吨标准煤,63.00万吨,,0.09万吨,2.59万吨,0.00万吨,105.17万吨,0.07万吨,4.26亿立方米,29.53亿千瓦时
其他采矿业,488.00万吨标准煤,8.00万吨,,0.00万吨,,0.00万吨,0.23万吨,0.00万吨,0.00亿立方米,161.71亿千瓦时
制造业,279651.00万吨标准煤,159830.00万吨,47802.00万吨,68866.23万吨,152.41万吨,8.35万吨,601.86万吨,3257.25万吨,1508.65亿立方米,39853.38亿千瓦时
农副食品加工业,4002.00万吨标准煤,1577.00万吨,16.00万吨,0.00万吨,4.85万吨,0.04万吨,12.34万吨,0.93万吨,30.40亿立方米,842.42亿千瓦时
食品制造业,2148.00万吨标准煤,1639.00万吨,16.00万吨,0.00万吨,3.69万吨,0.01万吨,5.01万吨,0.43万吨,26.44亿立方米,334.09亿千瓦时
酒饮料和精制茶制造业,1199.00万吨标准煤,497.00万吨,4.00万吨,0.00万吨,1.82万吨,0.00万吨,2.89万吨,0.39万吨,14.89亿立方米,176.06亿千瓦时
烟草制品业,180.00万吨标准煤,5.00万吨,,0.00万吨,0.08万吨,0.00万吨,0.55万吨,0.00万吨,1.19亿立方米,50.87亿千瓦时
纺织业,6982.00万吨标准煤,592.00万吨,6.00万吨,0.00万吨,3.27万吨,0.01万吨,3.90万吨,1.17万吨,50.77亿立方米,1650.38亿千瓦时
纺织服装服饰业,854.00万吨标准煤,49.00万吨,,0.00万吨,2.89万吨,0.00万吨,2.18万吨,0.25万吨,11.74亿立方米,220.24亿千瓦时
皮革毛皮羽毛及其制品和制鞋业,489.00万吨标准煤,18.00万吨,,0.00万吨,1.56万吨,0.00万吨,1.00万吨,0.14万吨,2.93亿立方米,140.96亿千瓦时
木材加工和木竹藤棕草制品业,1007.00万吨标准煤,40.00万吨,,0.00万吨,1.27万吨,0.00万吨,3.88万吨,0.13万吨,3.13亿立方米,283.98亿千瓦时
家具制造业,393.00万吨标准煤,2.00万吨,,0.00万吨,1.63万吨,0.02万吨,1.88万吨,0.06万吨,1.67亿立方米,120.74亿千瓦时
造纸和纸制品业,3927.00万吨标准煤,3545.00万吨,30.00万吨,0.03万吨,1.63万吨,0.00万吨,10.38万吨,6.06万吨,22.32亿立方米,798.25亿千瓦时
印刷和记录媒介复制业,498.00万吨标准煤,60.00万吨,,0.00万吨,2.83万吨,0.01万吨,3.12万吨,0.16万吨,4.83亿立方米,132.53亿千瓦时
文教工美体育和娱乐用品制造业,501.00万吨标准煤,10.00万吨,,0.00万吨,2.06万吨,0.00万吨,1.98万吨,0.27万吨,16.48亿立方米,85.05亿千瓦时
石油煤炭及其他燃料加工业 ,35267.00万吨标准煤,55519.00万吨,59.00万吨,65073.92万吨,16.51万吨,0.03万吨,121.94万吨,2229.67万吨,146.50亿立方米,1283.30亿千瓦时
化学原料和化学制品制造业,56723.00万吨标准煤,23077.00万吨,4289.00万吨,3791.64万吨,17.07万吨,2.00万吨,32.67万吨,941.83万吨,460.60亿立方米,5781.14亿千瓦时
医药制造业,2259.00万吨标准煤,735.00万吨,6.00万吨,0.00万吨,2.98万吨,0.01万吨,3.76万吨,1.51万吨,20.01亿立方米,430.45亿千瓦时
化学纤维制造业,2355.00万吨标准煤,1142.00万吨,3.00万吨,0.00万吨,0.37万吨,0.02万吨,1.11万吨,0.65万吨,18.38亿立方米,450.37亿千瓦时
橡胶和塑料制品业,4990.00万吨标准煤,280.00万吨,2.00万吨,0.05万吨,5.92万吨,0.05万吨,7.69万吨,2.21万吨,20.67亿立方米,1480.76亿千瓦时
非金属矿物制品业,35387.00万吨标准煤,24705.00万吨,1464.00万吨,0.37万吨,12.92万吨,0.53万吨,232.30万吨,58.29万吨,226.49亿立方米,3929.53亿千瓦时
黑色金属冶炼和压延加工业,66851.00万吨标准煤,28217.00万吨,40335.00万吨,0.00万吨,2.50万吨,0.02万吨,41.28万吨,0.27万吨,144.61亿立方米,6785.56亿千瓦时
有色金属冶炼和压延加工业 ,25460.00万吨标准煤,17138.00万吨,490.00万吨,0.21万吨,2.48万吨,0.37万吨,24.89万吨,7.72万吨,52.80亿立方米,7132.92亿千瓦时
金属制品业,6385.00万吨标准煤,306.00万吨,589.00万吨,0.00万吨,8.24万吨,0.30万吨,13.18万吨,0.75万吨,74.22亿立方米,1551.86亿千瓦时
通用设备制造业,3982.00万吨标准煤,16.00万吨,412.00万吨,0.00万吨,10.88万吨,1.44万吨,14.68万吨,0.45万吨,22.16亿立方米,1077.47亿千瓦时
专用设备制造业,1820.00万吨标准煤,12.00万吨,,0.01万吨,8.30万吨,0.88万吨,15.01万吨,0.38万吨,18.35亿立方米,498.54亿千瓦时
汽车制造业,4078.00万吨标准煤,85.00万吨,12.00万吨,0.01万吨,13.62万吨,0.24万吨,16.33万吨,0.17万吨,28.88亿立方米,1182.79亿千瓦时
铁路船舶航空航天和其他运输设备制造业,827.00万吨标准煤,35.00万吨,,0.00万吨,2.71万吨,1.30万吨,7.59万吨,0.98万吨,22.57亿立方米,159.76亿千瓦时
电气机械和器材制造业,3106.00万吨标准煤,20.00万吨,1.00万吨,0.00万吨,10.26万吨,0.12万吨,6.49万吨,1.19万吨,15.55亿立方米,942.86亿千瓦时
计算机通信和其他电子设备制造业,5120.00万吨标准煤,172.00万吨,,0.00万吨,6.29万吨,0.02万吨,3.52万吨,0.30万吨,28.32亿立方米,1570.61亿千瓦时
仪器仪表制造业,252.00万吨标准煤,2.00万吨,,0.00万吨,2.65万吨,0.04万吨,0.70万吨,0.07万吨,0.89亿立方米,77.23亿千瓦时
其他制造业,1857.00万吨标准煤,3.00万吨,,0.00万吨,0.45万吨,0.09万吨,0.83万吨,0.00万吨,4.16亿立方米,600.70亿千瓦时
废弃资源综合利用业,686.00万吨标准煤,333.00万吨,69.00万吨,0.00万吨,0.24万吨,0.01万吨,4.19万吨,0.65万吨,16.06亿立方米,67.10亿千瓦时
金属制品机械和设备修理业,63.00万吨标准煤,1.00万吨,,0.00万吨,0.42万吨,0.79万吨,4.59万吨,0.17万吨,0.63亿立方米,14.84亿千瓦时
电力热力燃气及水生产和供应业,35523.00万吨标准煤,213202.00万吨,271.00万吨,0.19万吨,17.67万吨,0.00万吨,46.96万吨,3.83万吨,610.87亿立方米,9934.08亿千瓦时
电力热力生产和供应业,32076.00万吨标准煤,211123.00万吨,270.00万吨,0.16万吨,13.60万吨,0.00万吨,45.28万吨,3.77万吨,575.98亿立方米,9119.51亿千瓦时
燃气生产和供应业,1525.00万吨标准煤,2057.00万吨,1.00万吨,0.00万吨,2.28万吨,0.00万吨,0.74万吨,0.00万吨,34.27亿立方米,169.53亿千瓦时
水的生产和供应业,1923.00万吨标准煤,22.00万吨,,0.03万吨,1.79万吨,0.00万吨,0.94万吨,0.06万吨,0.62亿立方米,645.05亿千瓦时
建筑业,9320.00万吨标准煤,639.00万吨,4.00万吨,0.00万吨,508.39万吨,10.81万吨,503.92万吨,40.75万吨,2.64亿立方米,1011.10亿千瓦时
交通运输仓储和邮政业,41309.00万吨标准煤,241.00万吨,,0.60万吨,5573.57万吨,3110.76万吨,9531.98万吨,2042.01万吨,354.29亿立方米,1750.98亿千瓦时
批发和零售业住宿和餐饮业,13171.00万吨标准煤,1981.00万吨,,,273.23万吨,14.76万吨,197.61万吨,11.80万吨,62.14亿立方米,3169.04亿千瓦时
其他,28245.00万吨标准煤,2571.00万吨,,,2253.09万吨,182.96万吨,946.15万吨,6.59万吨,55.55亿立方米,6517.02亿千瓦时
居民生活,64380.34万吨标准煤,6282.66万吨,11.00万吨,,3717.56万吨,12.42万吨,579.78万吨,,559.97亿立方米,11396.48亿千瓦时
