年份,发电装机容量,火电,水电,核电,风电,太阳能发电,其他
2000,31932.00万千瓦时,23754.00万千瓦时,7935.00万千瓦时,210.00万千瓦时,34.00万千瓦时,,
2001,33849.00万千瓦时,25301.00万千瓦时,8301.00万千瓦时,210.00万千瓦时,38.00万千瓦时,,
2002,35657.00万千瓦时,26555.00万千瓦时,8607.00万千瓦时,447.00万千瓦时,47.00万千瓦时,,
2003,39141.00万千瓦时,28977.00万千瓦时,9490.00万千瓦时,619.00万千瓦时,55.00万千瓦时,,
2004,44239.00万千瓦时,32948.00万千瓦时,10524.00万千瓦时,696.00万千瓦时,82.00万千瓦时,,
2005,51718.00万千瓦时,39138.00万千瓦时,11739.00万千瓦时,696.00万千瓦时,106.00万千瓦时,,
2006,62370.00万千瓦时,48382.00万千瓦时,13029.00万千瓦时,696.00万千瓦时,207.00万千瓦时,,
2007,71822.00万千瓦时,55607.00万千瓦时,14823.00万千瓦时,908.00万千瓦时,420.00万千瓦时,,
2008,79273.13万千瓦时,60285.84万千瓦时,17260.39万千瓦时,907.82万千瓦时,838.77万千瓦时,,
2009,87409.72万千瓦时,65107.63万千瓦时,19629.02万千瓦时,907.82万千瓦时,1759.94万千瓦时,2.50万千瓦时,2.81万千瓦时
2010,96641.30万千瓦时,70967.21万千瓦时,21605.72万千瓦时,1082.40万千瓦时,2957.55万千瓦时,25.62万千瓦时,2.81万千瓦时
2011,106253.00万千瓦时,76834.00万千瓦时,23298.00万千瓦时,1257.00万千瓦时,4623.00万千瓦时,212.00万千瓦时,19.00万千瓦时
2012,114676.41万千瓦时,81968.45万千瓦时,24947.05万千瓦时,1257.02万千瓦时,6142.33万千瓦时,341.06万千瓦时,20.49万千瓦时
2013,125768.00万千瓦时,87009.00万千瓦时,28044.00万千瓦时,1466.00万千瓦时,7652.00万千瓦时,1589.00万千瓦时,8.00万千瓦时
2014,137887.40万千瓦时,93232.30万千瓦时,30485.70万千瓦时,2007.80万千瓦时,9656.70万千瓦时,2486.20万千瓦时,18.70万千瓦时
2015,152527.00万千瓦时,100554.00万千瓦时,31954.00万千瓦时,2717.00万千瓦时,13075.00万千瓦时,4218.00万千瓦时,9.00万千瓦时
2016,165050.72万千瓦时,106094.41万千瓦时,33207.05万千瓦时,3364.22万千瓦时,14747.15万千瓦时,7631.26万千瓦时,6.64万千瓦时
2017,177708.46万千瓦时,110494.64万千瓦时,34358.73万千瓦时,3581.72万千瓦时,16325.20万千瓦时,12941.54万千瓦时,6.63万千瓦时
2018,190012.00万千瓦时,114408.00万千瓦时,35259.00万千瓦时,4465.72万千瓦时,18427.00万千瓦时,17433.00万千瓦时,19.28万千瓦时
2019,201006.10万千瓦时,118957.31万千瓦时,35804.46万千瓦时,4874.32万千瓦时,20915.31万千瓦时,20417.97万千瓦时,36.73万千瓦时
2020,220204.00万千瓦时,124624.00万千瓦时,37028.00万千瓦时,4989.00万千瓦时,28165.00万千瓦时,25356.00万千瓦时,41.00万千瓦时
2021,237777.00万千瓦时,129739.00万千瓦时,39094.00万千瓦时,5326.00万千瓦时,32871.00万千瓦时,30654.00万千瓦时,94.00万千瓦时
