nid,年份,天然气可供量,天然气生产量,天然气进口量,天然气出口量,天然气消费量,农林牧渔业天然气消费量,工业天然气消费量,建筑业天然气消费量,交通运输仓储和邮政业天然气消费量,批发和零售业住宿和餐饮业天然气消费量,其他天然气消费量,居民生活天然气消费量
1,1980,142.7亿立方米,142.7亿立方米,,,140.6亿立方米,,131.4亿立方米,6亿立方米,0.7亿立方米,,0.5亿立方米,2亿立方米
2,1985,129.3亿立方米,129.3亿立方米,,,129.3亿立方米,,109.6亿立方米,14.1亿立方米,0.8亿立方米,,0.5亿立方米,4.3亿立方米
3,1990,153亿立方米,153亿立方米,,,152.5亿立方米,,120.2亿立方米,10.6亿立方米,1.9亿立方米,,1.2亿立方米,18.6亿立方米
4,1995,179.5亿立方米,179.5亿立方米,,,177.4亿立方米,,154.4亿立方米,0.3亿立方米,1.6亿立方米,0.6亿立方米,1.2亿立方米,19.4亿立方米
5,2000,240.6亿立方米,272亿立方米,,31.4亿立方米,245亿立方米,,199亿立方米,0.8亿立方米,8.8亿立方米,3.4亿立方米,0.6亿立方米,32.3亿立方米
6,2005,463.5亿立方米,493.2亿立方米,,29.7亿立方米,466.1亿立方米,,327.2亿立方米,1.5亿立方米,38亿立方米,10.8亿立方米,9.1亿立方米,79.4亿立方米
7,2010,1082.3亿立方米,957.9亿立方米,164.7亿立方米,40.3亿立方米,1080.2亿立方米,0.5亿立方米,691.8亿立方米,1.2亿立方米,106.7亿立方米,27.2亿立方米,26亿立方米,226.9亿立方米
8,2011,1333亿立方米,1053.4亿立方米,311.5亿立方米,31.9亿立方米,1341.1亿立方米,0.6亿立方米,875.7亿立方米,1.3亿立方米,138.3亿立方米,33.6亿立方米,27.1亿立方米,264.4亿立方米
9,2012,1497.8亿立方米,1106.1亿立方米,420.6亿立方米,28.9亿立方米,1497亿立方米,0.6亿立方米,980.7亿立方米,1.3亿立方米,154.5亿立方米,38.7亿立方米,32.9亿立方米,288.3亿立方米
10,2013,1706.6亿立方米,1208.6亿立方米,525.4亿立方米,27.5亿立方米,1705.4亿立方米,0.7亿立方米,1129.1亿立方米,2亿立方米,175.8亿立方米,39.3亿立方米,35.6亿立方米,322.9亿立方米
11,2014,1866.8亿立方米,1301.6亿立方米,591.3亿立方米,26.1亿立方米,1870.6亿立方米,0.8亿立方米,1223亿立方米,1.9亿立方米,214.4亿立方米,46.6亿立方米,41.3亿立方米,342.6亿立方米
12,2015,1925亿立方米,1346.1亿立方米,611.4亿立方米,32.5亿立方米,1931.8亿立方米,0.9亿立方米,1234.5亿立方米,2.2亿立方米,237.6亿立方米,51.3亿立方米,45.4亿立方米,359.8亿立方米
13,2016,2080.5亿立方米,1368.7亿立方米,745.6亿立方米,33.8亿立方米,2078.1亿立方米,1.1亿立方米,1338.6亿立方米,1.9亿立方米,254.8亿立方米,53.7亿立方米,48.2亿立方米,379.7亿立方米
14,2017,2390.7亿立方米,1480.4亿立方米,945.6亿立方米,35.3亿立方米,2393.7亿立方米,1.1亿立方米,1575.2亿立方米,1.8亿立方米,284.7亿立方米,57.6亿立方米,52.9亿立方米,420.3亿立方米
15,2018,2814.3亿立方米,1601.6亿立方米,1246.4亿立方米,33.6亿立方米,2817.1亿立方米,1.3亿立方米,1940.1亿立方米,2.5亿立方米,286.2亿立方米,60.8亿立方米,57.9亿立方米,468.4亿立方米
