年份,林业有害生物发生面积,林业有害生物防治面积,林业有害生物防治率,森林病害发生面积,森林病害防治面积,森林虫害发生面积,森林虫害防治面积,森林鼠害发生面积,森林鼠害防治面积,有害植物发生面积,有害植物防治面积
2000,851.86万公顷,574.19万公顷,67.40万公顷,93.45万公顷,61.95万公顷,669.28万公顷,456.59万公顷,89.12万公顷,55.65万公顷,,
2005,961.03万公顷,640.75万公顷,66.67万公顷,101.20万公顷,70.62万公顷,726.09万公顷,498.51万公顷,133.73万公顷,71.62万公顷,,
2006,1100.67万公顷,735.47万公顷,66.82万公顷,103.87万公顷,71.80万公顷,829.87万公顷,557.20万公顷,166.93万公顷,106.47万公顷,,
2007,1209.68万公顷,801.20万公顷,66.23万公顷,110.95万公顷,85.88万公顷,887.72万公顷,604.53万公顷,211.02万公顷,110.79万公顷,,
2008,1141.84万公顷,783.96万公顷,68.66万公顷,116.83万公顷,90.48万公顷,843.19万公顷,590.23万公顷,181.81万公顷,103.25万公顷,,
2009,1141.97万公顷,819.38万公顷,71.75万公顷,103.12万公顷,81.88万公顷,850.30万公顷,638.14万公顷,188.55万公顷,99.36万公顷,,
2010,1164.24万公顷,812.36万公顷,69.78万公顷,129.06万公顷,89.56万公顷,852.32万公顷,628.70万公顷,182.86万公顷,94.11万公顷,,
2011,1168.14万公顷,728.50万公顷,62.36万公顷,119.72万公顷,79.23万公顷,845.91万公顷,546.58万公顷,202.51万公顷,102.69万公顷,,
2012,1176.90万公顷,782.59万公顷,66.50万公顷,131.16万公顷,84.26万公顷,846.29万公顷,572.93万公顷,199.45万公顷,125.41万公顷,,
2013,1223.05万公顷,766.83万公顷,62.70万公顷,139.17万公顷,89.88万公顷,847.46万公顷,589.56万公顷,224.25万公顷,82.97万公顷,12.16万公顷,4.43万公顷
2014,1206.45万公顷,787.43万公顷,65.27万公顷,137.28万公顷,86.71万公顷,841.28万公顷,599.54万公顷,211.60万公顷,96.03万公顷,16.29万公顷,5.16万公顷
2015,1218.35万公顷,877.77万公顷,72.05万公顷,139.05万公顷,97.71万公顷,846.64万公顷,620.92万公顷,214.82万公顷,150.19万公顷,17.84万公顷,8.94万公顷
2016,1211.34万公顷,833.82万公顷,68.83万公顷,138.89万公顷,95.90万公顷,857.02万公顷,615.03万公顷,195.51万公顷,112.13万公顷,19.92万公顷,10.77万公顷
2017,1253.12万公顷,962.17万公顷,76.78万公顷,133.09万公顷,101.71万公顷,905.97万公顷,714.40万公顷,194.20万公顷,133.24万公顷,19.88万公顷,12.82万公顷
2018,1219.52万公顷,948.93万公顷,77.81万公顷,176.87万公顷,134.54万公顷,840.41万公顷,665.25万公顷,184.40万公顷,138.60万公顷,17.85万公顷,10.54万公顷
2019,1236.77万公顷,1015.31万公顷,82.09万公顷,229.54万公顷,165.18万公顷,811.46万公顷,701.32万公顷,178.03万公顷,138.52万公顷,17.74万公顷,10.30万公顷
2020,1278.45万公顷,1009.24万公顷,78.94万公顷,295.14万公顷,237.37万公顷,790.62万公顷,627.07万公顷,174.00万公顷,133.09万公顷,18.68万公顷,11.71万公顷
2021,1255.37万公顷,1008.81万公顷,80.36万公顷,284.74万公顷,225.05万公顷,776.65万公顷,639.41万公顷,174.67万公顷,130.38万公顷,19.31万公顷,13.98万公顷
,,,,,,,,,,,
