年份,石油可供量,石油生产量,石油进口量,石油出口量,石油年初年末库存差额,石油消费量,农林牧渔业中石油消费量,工业中石油消费量,建筑业中石油消费量,交通运输仓储和邮政业中石油消费量,批发和零售业住宿和餐饮业中石油消费量,其他中石油消费量,居民生活中石油消费量,终端消费中石油消费量,中间消费中石油消费量,火力发电中石油消费量,供热中石油消费量,制气中石油消费量,炼油损失量中石油消费量,损失量中石油消费量,石油平衡差额
1990,11435.00万吨,13830.60万吨,755.60万吨,3110.40万吨,-40.80万吨,11485.60万吨,1033.60万吨,7321.60万吨,327.30万吨,1683.20万吨,77.60万吨,757.80万吨,284.50万吨,9304.70万吨,1630.40万吨,1234.40万吨,356.30万吨,39.70万吨,295.80万吨,254.70万吨,-50.60万吨
1995,16072.70万吨,15004.00万吨,3673.20万吨,2454.50万吨,-151.00万吨,16064.90万吨,1203.20万吨,9349.30万吨,242.80万吨,2863.60万吨,333.90万吨,1390.30万吨,682.00万吨,13676.30万吨,2230.00万吨,1358.50万吨,399.90万吨,51.60万吨,420.10万吨,158.60万吨,7.80万吨
2000,22631.37万吨,16300.00万吨,9748.49万吨,2172.14万吨,-1244.98万吨,22495.93万吨,788.51万吨,11248.52万吨,840.57万吨,6398.99万吨,247.03万吨,1635.86万吨,1336.45万吨,19950.12万吨,2352.92万吨,1178.15万吨,426.97万吨,25.88万吨,721.92万吨,192.89万吨,135.45万吨
2005,32539.13万吨,18135.29万吨,17163.15万吨,2888.08万吨,128.76万吨,32547.02万吨,1451.69万吨,14030.40万吨,1502.19万吨,10928.50万吨,375.64万吨,1974.18万吨,2284.43万吨,29495.62万吨,2895.98万吨,1306.42万吨,429.05万吨,14.39万吨,1146.12万吨,155.42万吨,-7.90万吨
2010,44178.43万吨,20301.40万吨,29437.22万吨,4079.00万吨,-1481.19万吨,44101.03万吨,1382.50万吨,18555.01万吨,2483.11万吨,15079.25万吨,481.01万吨,2578.23万吨,3541.91万吨,41243.38万吨,2663.25万吨,385.33万吨,593.12万吨,,1684.80万吨,194.40万吨,77.40万吨
2015,55688.00万吨,21455.58万吨,39748.62万吨,5128.15万吨,-388.05万吨,55960.17万吨,1733.41万吨,19718.05万吨,3384.33万吨,20663.11万吨,615.70万吨,3683.34万吨,6162.25万吨,52945.68万吨,2926.94万吨,265.54万吨,493.21万吨,,2168.19万吨,87.56万吨,-272.17万吨
2018,63726.56万吨,18932.42万吨,54094.27万吨,7557.41万吨,-1742.72万吨,62245.10万吨,1724.93万吨,22460.27万吨,3935.66万吨,22738.58万吨,599.00万吨,3458.23万吨,7328.42万吨,58623.02万吨,3593.26万吨,309.31万吨,590.17万吨,4.73万吨,2689.04万吨,28.82万吨,1481.46万吨
2019,66900.90万吨,19101.40万吨,58102.20万吨,8211.40万吨,-2091.40万吨,64506.50万吨,1748.20万吨,25210.60万吨,4055.10万吨,22109.60万吨,608.40万吨,3460.60万吨,7314.00万吨,61018.50万吨,3453.60万吨,308.30万吨,653.80万吨,3.70万吨,2487.90万吨,34.50万吨,2394.30万吨
2020,67553.70万吨,19476.90万吨,61271.70万吨,7551.00万吨,-5643.80万吨,65369.10万吨,1773.10万吨,27711.10万吨,4180.30万吨,20481.40万吨,583.30万吨,3469.90万吨,7170.10万吨,62085.20万吨,3265.60万吨,321.50万吨,677.70万吨,28.90万吨,2232.90万吨,18.30万吨,2184.60万吨

